iter	Passed	Remaining
0	2	286
1	5	273
2	8	260
3	10	245
4	12	239
5	14	234
6	23	316
7	27	314
8	29	302
9	33	298
10	36	291
11	39	290
12	45	306
13	49	303
14	52	297
15	55	289
16	58	286
17	60	277
18	63	272
19	71	284
20	75	282
21	77	275
22	79	267
23	82	260
24	90	271
25	94	269
26	97	263
27	101	259
28	104	255
29	107	251
30	112	249
31	120	256
32	123	251
33	127	247
34	131	244
35	137	244
36	141	240
37	144	236
38	148	232
39	151	226
40	153	221
41	154	213
42	157	208
43	160	203
44	164	201
45	169	198
46	173	195
47	175	190
48	178	185
49	184	184
50	187	180
51	189	175
52	192	171
53	195	166
54	197	161
55	200	157
56	202	153
57	205	148
58	208	144
59	210	140
60	213	136
61	215	132
62	218	128
63	221	124
64	224	120
65	227	117
66	230	113
67	232	109
68	234	105
69	237	101
70	239	97
71	241	94
72	244	90
73	246	86
74	249	83
75	251	79
76	253	75
77	255	72
78	260	69
79	267	66
80	269	63
81	273	60
82	276	56
83	278	53
84	281	49
85	283	46
86	286	42
87	288	39
88	290	35
89	293	32
90	295	29
91	297	25
92	300	22
93	302	19
94	305	16
95	307	12
96	309	9
97	312	6
98	317	3
99	320	0
