iter	Passed	Remaining
0	1	1980
1	3	1818
2	5	1726
3	6	1681
4	8	1675
5	11	1844
6	12	1826
7	14	1799
8	16	1771
9	17	1744
10	19	1720
11	21	1730
12	23	1746
13	25	1801
14	27	1795
15	28	1776
16	30	1758
17	31	1741
18	33	1727
19	35	1728
20	36	1720
21	39	1777
22	41	1775
23	43	1763
24	44	1754
25	46	1740
26	48	1731
27	49	1730
28	51	1722
29	54	1763
30	56	1765
31	58	1754
32	59	1746
33	61	1737
34	63	1737
35	64	1731
36	66	1723
37	69	1748
38	71	1750
39	72	1743
40	74	1736
41	75	1728
42	77	1726
43	79	1722
44	80	1716
45	83	1733
46	85	1736
47	87	1730
48	88	1724
49	90	1720
50	92	1716
51	93	1711
52	95	1705
53	98	1723
54	100	1723
55	101	1717
56	103	1711
57	105	1709
58	106	1704
59	108	1698
60	110	1693
61	112	1701
62	114	1703
63	116	1700
64	118	1700
65	120	1705
66	123	1726
67	125	1726
68	128	1734
69	130	1730
70	132	1731
71	133	1724
72	135	1718
73	136	1712
74	138	1707
75	140	1702
76	142	1707
77	144	1707
78	146	1702
79	147	1697
80	149	1690
81	150	1686
82	151	1673
83	153	1669
84	155	1670
85	157	1677
86	159	1675
87	161	1671
88	162	1666
89	164	1662
90	165	1657
91	167	1654
92	169	1652
93	172	1659
94	174	1657
95	175	1652
96	177	1648
97	178	1643
98	180	1639
99	181	1635
100	183	1631
101	186	1642
102	188	1639
103	189	1635
104	191	1632
105	192	1627
106	194	1623
107	196	1620
108	197	1616
109	200	1622
110	202	1623
111	204	1620
112	205	1615
113	207	1611
114	208	1607
115	210	1603
116	211	1598
117	213	1596
118	216	1600
119	217	1597
120	219	1594
121	220	1588
122	222	1585
123	223	1582
124	225	1577
125	226	1574
126	229	1579
127	231	1578
128	233	1574
129	234	1571
130	236	1568
131	237	1564
132	239	1560
133	240	1557
134	243	1563
135	245	1561
136	247	1558
137	249	1556
138	250	1553
139	252	1549
140	253	1546
141	254	1540
142	257	1541
143	260	1546
144	261	1544
145	263	1540
146	265	1539
147	266	1536
148	268	1532
149	270	1531
150	273	1536
151	275	1535
152	276	1532
153	278	1530
154	280	1527
155	281	1524
156	283	1521
157	285	1519
158	288	1523
159	289	1522
160	291	1516
161	292	1514
162	294	1510
163	295	1507
164	297	1504
165	299	1502
166	300	1500
167	303	1503
168	305	1501
169	306	1498
170	308	1495
171	310	1493
172	312	1493
173	314	1490
174	317	1495
175	319	1494
176	320	1491
177	322	1488
178	323	1485
179	325	1483
180	327	1483
181	329	1481
182	332	1484
183	334	1482
184	336	1480
185	337	1477
186	339	1474
187	342	1477
188	347	1490
189	350	1494
190	352	1492
191	354	1491
192	356	1489
193	357	1486
194	359	1483
195	362	1487
196	364	1485
197	367	1487
198	369	1488
199	371	1486
200	373	1484
201	377	1491
202	380	1494
203	382	1493
204	384	1492
205	386	1489
206	388	1488
207	393	1496
208	395	1496
209	397	1495
210	399	1492
211	401	1490
212	403	1489
213	406	1493
214	408	1492
215	410	1489
216	411	1486
217	413	1483
218	415	1482
219	417	1480
220	422	1490
221	424	1488
222	426	1486
223	428	1484
224	429	1480
225	431	1477
226	433	1476
227	437	1481
228	439	1480
229	441	1478
230	443	1475
231	444	1472
232	446	1469
233	449	1470
234	451	1471
235	454	1469
236	455	1466
237	457	1464
238	459	1462
239	461	1462
240	466	1468
241	469	1471
242	471	1469
243	473	1466
244	474	1463
245	477	1464
246	480	1463
247	481	1460
248	483	1457
249	484	1454
250	486	1451
251	487	1448
252	489	1445
253	493	1450
254	495	1447
255	496	1444
256	498	1441
257	500	1438
258	501	1435
259	503	1432
260	504	1429
261	508	1432
262	510	1430
263	511	1427
264	513	1424
265	515	1421
266	516	1418
267	518	1415
268	520	1414
269	523	1414
270	524	1411
271	526	1408
272	528	1406
273	529	1403
274	531	1400
275	533	1398
276	536	1401
277	539	1400
278	541	1398
279	543	1397
280	545	1395
281	547	1394
282	551	1397
283	554	1396
284	555	1394
285	557	1391
286	559	1390
287	561	1388
288	563	1386
289	566	1387
290	568	1385
291	569	1381
292	571	1379
293	573	1376
294	574	1373
295	576	1371
